Gen;Max;Avg
0;230;58.4
1;240;81
2;240;98.2
3;250;121.6
4;250;142.8
5;260;154.6
6;260;139.6
7;240;142.6
8;250;145.4
9;250;135.8
10;250;148.4
11;250;134.4
12;250;145.4
13;250;170.2
14;250;188.8
15;250;194
16;250;181.8
17;250;176.2
18;250;207.2
19;250;191
20;250;187.8
21;250;178.2
22;250;194.4
23;250;190.4
24;250;177.6
25;250;181.8
26;250;187.4
27;250;213
28;250;163.4
29;250;198.2
30;250;211.6
31;250;211
32;250;187
33;250;198.8
34;250;140.8
35;250;170
36;250;168.8
37;250;162
38;250;191.4
39;250;197.6
40;250;175.8
41;250;171.2
42;250;189.6
43;250;206.2
44;250;165.8
45;250;178.6
46;250;158.8
47;250;153.2
48;250;178.2
49;250;184.8

Najlepsze rozwiazanie: Wartosc=250
Przedmioty: 0 3 4 5 6

Gen;Max;Avg
0;240;58.2
1;250;101
2;240;128.4
3;240;120
4;240;105
5;260;110
6;260;119.4
7;260;113.4
8;260;137.2
9;260;144.6
10;260;141.6
11;260;164.6
12;260;163.4
13;260;154.4
14;260;154.6
15;260;184
16;260;188.6
17;260;189.6
18;260;191.2
19;260;181.2
20;260;171.8
21;260;182.2
22;260;199.8
23;260;192
24;260;202.4
25;260;166
26;260;184.8
27;260;191.8
28;260;170.6
29;260;179
30;260;186.8
31;260;199.4
32;260;182.2
33;260;220.2
34;260;214
35;260;217.8
36;260;224
37;260;181.4
38;260;191.2
39;260;190.2
40;260;171.2
41;260;178
42;260;159.4
43;260;189.4
44;260;201.2
45;260;165.8
46;260;197.8
47;260;197.2
48;260;181.6
49;260;200.2

Najlepsze rozwiazanie: Wartosc=260
Przedmioty: 0 1 4 6 7

Gen;Max;Avg
0;240;86.4
1;260;106
2;260;120.6
3;260;150
4;260;151.6
5;260;146.4
6;260;137.6
7;250;136.6
8;250;137.6
9;250;134.4
10;250;147.8
11;250;126
12;250;140.4
13;250;173.2
14;250;153
15;250;174.2
16;250;170.8
17;250;192.4
18;250;178.4
19;250;175.8
20;250;196.8
21;250;165.2
22;250;192.2
23;250;172.8
24;250;179
25;250;186
26;250;183.6
27;250;197.2
28;250;175.4
29;250;188.6
30;250;172.4
31;250;156
32;250;153
33;250;161.4
34;250;165.8
35;250;173.6
36;250;174.2
37;250;188.2
38;250;196.6
39;250;190.8
40;250;149.4
41;250;192.2
42;250;175.8
43;250;189
44;250;175.4
45;250;179.4
46;250;156.8
47;250;165
48;250;168.6
49;250;183.2

Najlepsze rozwiazanie: Wartosc=250
Przedmioty: 0 3 4 5 6

Gen;Max;Avg
0;240;89.4
1;260;93
2;260;132.4
3;260;125
4;260;117.6
5;260;121.6
6;260;150.4
7;260;156.8
8;260;171.2
9;260;176.2
10;260;147.4
11;260;165.4
12;260;128.6
